**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Si, 81.80156, 81.75855, 81.79910, 82.04217, 85.70059, 86.07348, 83.10123,  1.83551,  0.02209,  0.02244
P, 30.11433, 30.08489, 30.12887, 30.32111, 31.06999, 31.40787, 30.54757,  0.51614,  0.01690,  0.01714
S,  9.96196,  9.94584,  9.97614,  9.99486, 10.34855, 11.02033, 10.15832,  0.32986,  0.03247,  0.03311
Cl, 39.19220, 39.17617, 39.21834, 39.29736, 40.68892, 40.91502, 39.72937,  0.74590,  0.01877,  0.01903
K, 36.27770, 36.24127, 36.28240, 36.37436, 37.95187, 40.71407, 37.09166,  1.40164,  0.03779,  0.03864
Ca, 74.91271, 74.86844, 74.91349, 75.14452, 78.48257, 79.22876, 76.14765,  1.74956,  0.02298,  0.02335
Ti, 80.51538, 80.47133, 80.51375, 80.75510, 84.36664, 84.90094, 81.81649,  1.84121,  0.02250,  0.02287
V, 57.57027, 57.52227, 57.57316, 57.74478, 60.33178, 62.33224, 58.66424,  1.65575,  0.02822,  0.02876
Mn, 74.19827, 74.15187, 74.19914, 74.41973, 77.74961, 78.97343, 75.47078,  1.83572,  0.02432,  0.02474
Fe, 78.67592, 78.63108, 78.67564, 78.91853, 82.45310, 83.21832, 79.97914,  1.84738,  0.02310,  0.02348
Zn, 21.80895, 21.74546, 21.76392, 21.80454, 22.85442, 28.33605, 22.65142,  1.99156,  0.08792,  0.09132
Br, 11.27438,  9.25807,  9.52149, 11.27354, 11.71775, 11.78095, 10.70433,  1.03945,  0.09711,  0.09220
Pb, 16.79558, 16.65968, 16.67793, 16.79134, 17.59263, 24.00438, 17.62759,  2.20894,  0.12531,  0.13152
BC,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  8.78906,  0.87888,  2.70515,  3.07794,  0.00000

Factor 5,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  1.76142,  1.18567,  1.76265,  2.55224,  2.77099,  3.02282,  2.26952,  0.57695,  0.25422,  0.32755
Na,  5.87486,  5.87486,  5.91987,  6.21950,  7.05675,  7.13846,  6.40503,  0.49106,  0.07667,  0.08359
Mg,  1.69376,  1.09764,  1.15657,  1.30047,  1.69335,  2.21524,  1.44920,  0.35454,  0.24465,  0.20932
Al,  0.53167,  0.35431,  0.36179,  0.40310,  0.53167,  0.69777,  0.45607,  0.11081,  0.24296,  0.20842
Si,  0.19808,  0.00000,  0.00000,  0.00000,  0.19810,  0.44821,  0.10451,  0.14869,  1.42268,  0.75064
P,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.15174,  0.41517,  1.27788,  3.07794,  0.00000
S,  5.12992,  5.11905,  5.16146,  5.35184,  5.92931,  8.37389,  5.73274,  0.95024,  0.16576,  0.18523
Cl,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
K,  3.51560,  3.33180,  3.51662,  4.56304,  4.93566,  5.21263,  4.27562,  0.69209,  0.16187,  0.19686
Ca,  0.15360,  0.15343,  0.15491,  0.18720,  0.20863,  0.27271,  0.18939,  0.03308,  0.17469,  0.21540
Ti,  0.18371,  0.06247,  0.06950,  0.08011,  0.18378,  0.31124,  0.13001,  0.08080,  0.62152,  0.43985
V,  1.56757,  1.12966,  1.56838,  2.21572,  2.39499,  2.61945,  1.98907,  0.46798,  0.23528,  0.29854
Mn,  0.62669,  0.30202,  0.62764,  0.84267,  0.91793,  1.03357,  0.75811,  0.20383,  0.26886,  0.32525
Fe,  0.00000,  0.00000,  0.00000,  0.00000,  0.01248,  0.08456,  0.01086,  0.02201,  2.02757,  0.00000
Zn,  7.79686,  4.90027,  7.80424,  9.90729, 10.72385, 11.23404,  9.09793,  1.90532,  0.20942,  0.24437
Br, 70.71766, 65.51610, 66.10495, 70.68910, 71.88803, 73.74627, 69.51727,  2.92104,  0.04202,  0.04131
Pb,  9.99229,  6.00110, 10.00216, 12.40234, 13.39565, 13.97071, 11.43330,  2.35837,  0.20627,  0.23602
BC,  5.26739,  0.00000,  5.28204,  9.26187,  9.99480, 11.22503,  7.47937,  3.32483,  0.44453,  0.63121

Percent of Total Variable

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,100.00000,  0.00000,  0.00000,  0.00000
