**** Analysis Summary ****

Time of run: ,04/10/16 01:52
Concentration file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsH.csv
Uncertainty file: ,C:\Users\Andrea\Documents\EPA PMF\Data\pmf_fa\RGsHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
14                    13,0.00001,0.00024,0.00168,0.00008,0.00006,0.00027,0.00006,0.00008,0.00018,0.00027,0.00004,0.00001,0.00005,0.00009,0.00058,0.00051,0.00023,
15                    1,0.00001,0.00008,0.00038,0.00010,0.00007,0.00035,0.00015,0.00004,0.00011,0.00020,0.00006,0.00022,0.00006,0.00016,0.00033,0.00082,0.00008,
15                    2,0.00435,0.05753,0.33885,0.05444,0.02201,0.49239,0.31508,0.02700,0.27849,0.44353,0.05191,0.10069,0.03149,0.12467,0.60040,1.47785,0.10298,
15                    3,0.00445,0.05878,0.31785,0.05433,0.02192,0.48112,0.31027,0.02626,0.27257,0.43138,0.05073,0.10066,0.03131,0.12305,0.59480,1.45886,0.11049,
15                    4,0.00441,0.05805,0.34710,0.05476,0.02200,0.49655,0.31826,0.02663,0.27961,0.44183,0.05240,0.10134,0.03106,0.12521,0.60213,1.47569,0.10310,
15                    5,0.00457,0.05911,0.33229,0.05510,0.02171,0.49704,0.31241,0.02631,0.27263,0.43259,0.05154,0.10115,0.03144,0.12532,0.60597,1.46437,0.10993,
15                    6,0.00009,0.00144,0.01308,0.00223,0.00146,0.01304,0.00841,0.00081,0.00463,0.01288,0.00213,0.00132,0.00150,0.00580,0.00935,0.04022,0.00263,
15                    7,0.00447,0.05902,0.31367,0.05476,0.02176,0.48640,0.30949,0.02633,0.27041,0.43034,0.05056,0.10085,0.03180,0.12408,0.60150,1.45772,0.11241,
15                    8,0.00432,0.05743,0.34994,0.05367,0.02200,0.49119,0.31883,0.02686,0.28075,0.44255,0.05267,0.10118,0.03075,0.12517,0.59547,1.47961,0.10254,
15                    9,0.00442,0.05759,0.33940,0.05408,0.02205,0.48838,0.31420,0.02673,0.27683,0.43506,0.05148,0.10095,0.03077,0.12379,0.59226,1.46370,0.10408,
15                    10,0.00009,0.00184,0.01776,0.00272,0.00190,0.01682,0.01067,0.00101,0.00606,0.01663,0.00275,0.00215,0.00197,0.00707,0.01224,0.05114,0.00324,
15                    11,0.00444,0.05750,0.35267,0.05442,0.02218,0.49728,0.31824,0.02668,0.27751,0.43675,0.05209,0.10194,0.03061,0.12530,0.59739,1.46929,0.10238,
15                    12,0.00429,0.05777,0.34957,0.05498,0.02228,0.49748,0.32139,0.02722,0.28508,0.45998,0.05358,0.10093,0.03153,0.12581,0.60901,1.50793,0.10201,
15                    13,0.00427,0.05542,0.33805,0.05415,0.02201,0.49333,0.31770,0.02699,0.28007,0.44616,0.05141,0.10082,0.03107,0.12345,0.60250,1.45037,0.09539,
15                    14,0.00445,0.05740,0.35254,0.05433,0.02193,0.49822,0.31723,0.02647,0.27703,0.43626,0.05206,0.10161,0.03089,0.12554,0.60437,1.46556,0.10266,
16                    1,0.00454,0.05809,0.32253,0.05398,0.02190,0.49035,0.30447,0.02552,0.26784,0.42460,0.04944,0.10852,0.03103,0.12080,0.60402,1.42595,0.11313,
16                    2,0.00001,0.00012,0.00059,0.00008,0.00006,0.00043,0.00007,0.00014,0.00012,0.00049,0.00006,0.00002,0.00004,0.00013,0.00115,0.00022,0.00032,
16                    3,0.00001,0.00004,0.00050,0.00005,0.00004,0.00022,0.00004,0.00004,0.00004,0.00008,0.00003,0.00002,0.00002,0.00005,0.00019,0.00008,0.00001,
16                    4,0.00001,0.00012,0.00058,0.00004,0.00004,0.00029,0.00010,0.00012,0.00011,0.00040,0.00007,0.00002,0.00002,0.00010,0.00105,0.00019,0.00030,
